Source,Target,Weight
Bai2025Characteristicsanal,Dong2025Constructionofmode,0.26666666666666666
Bai2025Characteristicsanal,Liu2025Behavioranalysisan,0.2571428571428572
Cheng2025DilemmaofcollegeE,Zhao2025Trendandfuturepro,0.25263157894736843
Cheng2025DilemmaofcollegeE,Sun2025Evaluationoftraini,0.21818181818181817
Cheng2025DilemmaofcollegeE,Liu2025Constructionofuniv,0.22857142857142856
Cheng2025DilemmaofcollegeE,Guo2025Musiccultureinheri,0.22857142857142856
Arkin2025Phonemeconfusionmo,Meng2025Researchonadaptive,0.20869565217391306
Jiang2025Constructionandapp,Yang2025Automatedconstructi,0.2
Liu2025Optimizinggridresi,Fu2025Advancementsindigi,0.22857142857142856
Zhang2025Developmentofeduca,Gao2025ExplorationofEngli,0.22857142857142856
Li2025Seismicdesignmetho,Liu2025Curriculumdesignme,0.21052631578947367
Liu2025Researchonautomati,Liu2025Researchonsemantic,0.23333333333333336
Ni2025Applicationresearch,Zheng2025Controlschemeofgr,0.2
Hu2025Constructionandapp,Tang2025CollegeEnglishclas,0.26666666666666666
Hu2025Constructionandapp,Wei2025Bigdatasentimenta,0.22857142857142856
Hu2025Constructionandapp,Meng2025Researchonadaptive,0.20869565217391306
Hu2025Constructionandapp,Ye2025Educationalapplicat,0.24
Hu2025Constructionandapp,Li2025Intelligentmanageme,0.2
Liu2025Optimizationandcom,Hu2025Designofasecuree,0.2
Liu2025Optimizationandcom,Gao2025Designandperforman,0.20869565217391306
Liu2025Optimizationandcom,Li2025Designofonlinetea,0.26666666666666666
Xia2025Designandapplicati,Li2025Designofonlinetea,0.2
Xia2025Designandapplicati,Hu2025Designofasecuree,0.22857142857142856
Xia2025Designandapplicati,Zhan2025Designandapplicati,0.2
Xia2025Designandapplicati,Ma2025Researchonconstruc,0.25263157894736843
Liu2025Researchononlinep,Wei2025Evaluationanalysis,0.24
Zhang2025Naturallanguagepro,Dong2025Artificialintellige,0.21052631578947367
Zhang2025Naturallanguagepro,Bai2025Artificialintellige,0.22222222222222224
Zhang2025Researchonsimulati,Shen2025Researchonsynchron,0.20869565217391306
Zhang2025Technologyandimple,Zheng2025Robusttechnologyof,0.21818181818181817
Zhang2025Deeplearningbased,Zhang2025Dynamicposerecogni,0.2
Chen2025Theapplicationofc,Li2025Theapplicationofd,0.2
Chen2025Theapplicationofc,Xu2025Applicationofartif,0.22857142857142856
Ji2025Theevaluationofte,Lin2025Sentimentanalysisa,0.2
Ji2025Theevaluationofte,Liu2025StudyonEnglishlea,0.2
Li2025Applicationandimpr,Zhong2025Evaluationandoptim,0.2545454545454546
Li2025Applicationandimpr,He2025Researchonoptimiza,0.2153846153846154
Wei2025Evaluationanalysis,Liu2025Researchononlinep,0.24
Wei2025Evaluationanalysis,Wang2025Studyontheeffect,0.20869565217391306
Wei2025Evaluationanalysis,Xie2025Individualizedcolle,0.21333333333333335
Wei2025Evaluationanalysis,Liu2025Constructionofuniv,0.2
Wei2025Evaluationanalysis,Wu2025Theconstructionof,0.2
Wei2025Evaluationanalysis,Yi2025Analysisofstudents,0.22222222222222224
Wei2025Evaluationanalysis,Yang2025Designandcategory,0.2
Wei2025Evaluationanalysis,Guo2025SimulationofChines,0.20869565217391306
Wei2025Evaluationanalysis,Li2025Pathoptimizationde,0.21052631578947367
Lan2025Theinnovationofcu,Wang2025Designofautonomous,0.21052631578947367
Lan2025Theinnovationofcu,Pei2025Developmentandappl,0.21052631578947367
Zhang2025Anempiricalanalysi,Liu2025Behavioranalysisan,0.2153846153846154
Wang2025Imagefusionbaseds,Fan2025Remotesensingimage,0.26666666666666666
Wang2025Danceactionrecogni,Zhou2025Improvingstudents,0.22857142857142856
Wang2025Danceactionrecogni,Yang2025Shortvideocontent,0.22857142857142856
Wang2025Danceactionrecogni,Zhang2025Dynamicposerecogni,0.23529411764705885
Tang2025CollegeEnglishclas,Hu2025Constructionandapp,0.26666666666666666
Tang2025CollegeEnglishclas,He2025Personalizedteachin,0.29473684210526313
Yi2025Researchonpredicti,Meng2025Researchonadaptive,0.2782608695652174
Xie2025Individualizedcolle,Wei2025Evaluationanalysis,0.21333333333333335
Liu2025Curriculumdesignme,Li2025Seismicdesignmetho,0.21052631578947367
Liu2025Curriculumdesignme,Hu2025Amethodforimprovi,0.21052631578947367
Guo2025SimulationofChines,Wei2025Evaluationanalysis,0.20869565217391306
Xu2025Assessmentandenhan,Liu2025Researchonthecons,0.20869565217391306
Xu2025Assessmentandenhan,Guo2025Musiccultureinheri,0.26666666666666666
Xu2025Assessmentandenhan,Zhao2025Trendandfuturepro,0.24
Xu2025Assessmentandenhan,Lv2025Researchonrealtim,0.22400000000000003
Hu2025Applicationandimpr,Pu2025Designofsmartelde,0.2
Hu2025Amethodforimprovi,Liu2025Curriculumdesignme,0.21052631578947367
Zhang2025Constructionofacr,Yang2025Automatedconstructi,0.21052631578947367
Pei2025Developmentandappl,Wu2025Applicationandprac,0.25
Pei2025Developmentandappl,Lan2025Theinnovationofcu,0.21052631578947367
Zhou2025Explorethenewmode,Yuan2025Ethicalandlegalis,0.23529411764705885
Sun2025Evaluationoftraini,He2025Researchonoptimiza,0.23333333333333336
Sun2025Evaluationoftraini,Cheng2025DilemmaofcollegeE,0.21818181818181817
Sun2025Evaluationoftraini,Qian2025Qualityevaluationm,0.20869565217391306
Manoudaki2025Digitalmorphogenesi,Yan2022AComputationalFram,0.3333333333333333
Zhou2025Thefeaturedeepfus,Xing2025Intelligenttransfor,0.2
Zhou2025Thefeaturedeepfus,Zhang2025Autismemotionrecog,0.4
Zhou2025Thefeaturedeepfus,Gao2025Loadforecastingmet,0.25
Meng2025Researchonprivacy,Duan2025Intelligentplanning,0.2
Ye2025Educationalapplicat,Zhao2025Enterprisereformon,0.2
Ye2025Educationalapplicat,Hu2025Constructionandapp,0.24
Jia2025Thestructuraldetec,Zou2025Featureextractiona,0.2
Zhao2025Enterprisereformon,Ye2025Educationalapplicat,0.2
Li2025Aredcultureconten,Yang2025Shortvideocontent,0.23529411764705885
Li2025Aredcultureconten,Yang2025ImprovingaVOHEsys,0.2
Zhao2025Modelandresearcho,Shi2025Designandresearch,0.24347826086956526
Zhao2025Modelandresearcho,Zhou2025Modelingandsimulat,0.2
Zhao2025Modelandresearcho,Peng2025Constructionprogres,0.22857142857142856
Zhao2025Modelandresearcho,Tao2025Designandapplicati,0.2
Zhao2025Modelandresearcho,Dukun2025Visualpredictionmo,0.2
Zhao2025Modelandresearcho,Wang2025OptimizationofEngl,0.24
Wang2025Applicationofbigd,Wu2025Theapplicationofa,0.35555555555555557
Wang2025Applicationofbigd,Zhang2025Researchontheappl,0.20869565217391306
Wang2025Applicationofbigd,Cao2025Researchontheappl,0.26666666666666666
Wang2025Applicationofbigd,Luo2025Applicationofartif,0.28235294117647064
Wang2025Applicationofbigd,Wang2025Methodsandcontent,0.23333333333333336
Wang2025Researchonforeste,Cao2025Predictionandoptim,0.22400000000000003
Yang2025Designandcategory,Wu2025Patternrecognition,0.21818181818181817
Yang2025Designandcategory,Wei2025Evaluationanalysis,0.2
Yang2025Designandcategory,Zhou2025ApplicationofNSGA,0.20869565217391306
Yuan2025Ethicalandlegalis,Bai2025Artificialintellige,0.21333333333333335
Yuan2025Ethicalandlegalis,Li2025Theapplicationofd,0.25
Yuan2025Ethicalandlegalis,Gao2025ExplorationofEngli,0.28235294117647064
Yuan2025Ethicalandlegalis,Liu2025ConstructionofEngl,0.26666666666666666
Yuan2025Ethicalandlegalis,Lai2025Applicationofartif,0.23529411764705885
Yuan2025Ethicalandlegalis,Zhou2025Explorethenewmode,0.23529411764705885
Shi2025Designandresearch,Zhao2025Modelandresearcho,0.24347826086956526
Shi2025Designandresearch,Shen2025Performanceoptimiza,0.2
Shi2025Designandresearch,Gao2025Designofmultipler,0.2
Du2025Studyonspatialopt,Li2025Impactofmultimodal,0.2
Xie2025Digitalprotectiona,Xu2025Explorationofdigit,0.2
Xie2025Digitalprotectiona,Liu2025Constructionofuniv,0.20869565217391306
Xie2025Digitalprotectiona,Cao2025Predictionandoptim,0.23333333333333336
Liu2025Designofnetworkac,Guo2025Researchonconstruc,0.20869565217391306
Liu2025Designofnetworkac,Yang2025Vulnerabilityevalua,0.20869565217391306
Qiu2025Constructionandapp,Li2025Theapplicationofd,0.21052631578947367
Wu2025Theconstructionof,Wei2025Evaluationanalysis,0.2
Li2025Bodyposturerecogni,Chen2025Martialartsaction,0.21818181818181817
Fu2025Advancementsindigi,Liu2025Optimizinggridresi,0.22857142857142856
Liu2025StudyonEnglishlea,Ji2025Theevaluationofte,0.2
Ju2025Enhancinguserexper,Kang2025Leveragingbigdata,0.24
Shi2025Researchonintellig,Jiang2025Researchonstabilit,0.26666666666666666
Liu2025Researchonthecons,Qian2025Developmentandeval,0.2
Liu2025Researchonthecons,Cao2025Researchontheappl,0.20869565217391306
Liu2025Researchonthecons,Xu2025Assessmentandenhan,0.20869565217391306
Liu2025Researchonthecons,Wang2025OptimizationofEngl,0.22857142857142856
Liu2025Researchonthecons,He2025Personalizedteachin,0.20869565217391306
Liu2025Researchonthecons,He2025Researchonoptimiza,0.2782608695652174
Liu2025Researchonthecons,Zhang2025Constructionandopt,0.22857142857142856
Liu2025Researchonthecons,Zhang2025Developmentandappl,0.20869565217391306
Zheng2025Researchonautomati,Jin2025Applicationofcolor,0.20869565217391306
Zheng2025Researchonautomati,Li2025Researchonoptimal,0.24347826086956526
Deng2025Simulationanalysis,Jiao2025Modelingandanalysi,0.21818181818181817
Ye2025Optimizationstrateg,Zhong2025Evaluationandoptim,0.25
Ye2025Optimizationstrateg,Li2025Pathoptimizationde,0.23529411764705885
Wang2025Threatassessmentmo,Zhang2025Graphsignalprocess,0.2
Zou2025Featureextractiona,Zhang2025Explorationandprac,0.2545454545454546
Zou2025Featureextractiona,Jia2025Thestructuraldetec,0.2
Zou2025Featureextractiona,Li2025Intelligentmanageme,0.24
Zou2025Featureextractiona,Meng2025Researchonadaptive,0.2
Min2025Optimizationofpref,Cao2025Innovationandentre,0.21052631578947367
Min2025Optimizationofpref,Wu2025Optimizationofauto,0.22222222222222224
Min2025Optimizationofpref,Li2025Constructionofrura,0.22857142857142856
Min2025Optimizationofpref,Liu2025Constructionofuniv,0.24
Min2025Optimizationofpref,Gu2025Earlywarningandri,0.20869565217391306
Min2025Optimizationofpref,Zheng2025Robusttechnologyof,0.22222222222222224
Min2025Optimizationofpref,Wan2025Optimizationofcult,0.2
Huang2025Anenhanceddeeplea,Cao2025Innovationandentre,0.21052631578947367
Li2025Ecologicalefficienc,Pan2025Improveddataquery,0.26666666666666666
Zheng2025Robusttechnologyof,Zhang2025Technologyandimple,0.21818181818181817
Zheng2025Robusttechnologyof,Min2025Optimizationofpref,0.22222222222222224
Zheng2025Robusttechnologyof,Li2025Designofonlinetea,0.21052631578947367
Zhang2025Artificialneuralne,Wu2025Applicationandprac,0.2
Zhang2025DesignofEnglishte,Jin2025Researchonmultimod,0.26666666666666666
Xing2025Intelligenttransfor,Zhou2025Thefeaturedeepfus,0.2
Xing2025Intelligenttransfor,Yang2025Shortvideocontent,0.22222222222222224
Liu2025Constructionofuniv,He2025Anomalydetectional,0.21052631578947367
Liu2025Constructionofuniv,Xie2025Digitalprotectiona,0.20869565217391306
Liu2025Constructionofuniv,Wei2025Evaluationanalysis,0.2
Liu2025Constructionofuniv,Min2025Optimizationofpref,0.24
Liu2025Constructionofuniv,Cheng2025DilemmaofcollegeE,0.22857142857142856
Wu2025Optimizationofauto,Wan2025Optimizationofcult,0.21052631578947367
Wu2025Optimizationofauto,Wu2025Theoptimizationof,0.21052631578947367
Wu2025Optimizationofauto,Min2025Optimizationofpref,0.22222222222222224
Huang2025Sportsvolleyballer,Tian2025Actionrecognitiont,0.2
Liu2025Distributedsecurity,Yang2025Shortvideocontent,0.2
Wu2025Managementofcross,Wang2025OptimizationofEngl,0.2
Wu2025Managementofcross,Li2025Crossborderecomme,0.3047619047619048
Cao2025Apersonalizedrecom,Gao2025Designofmultipler,0.20869565217391306
Guo2025Musiccultureinheri,Xu2025Assessmentandenhan,0.26666666666666666
Guo2025Musiccultureinheri,Cheng2025DilemmaofcollegeE,0.22857142857142856
Li2025Crossborderecomme,Li2025Theroleofruralsp,0.2153846153846154
Li2025Crossborderecomme,Wu2025Managementofcross,0.3047619047619048
Zheng2025Dynamicinteraction,Li2025Designofonlinetea,0.20869565217391306
Kuang2025Automatedoptimizati,Li2025Economicoptimizatio,0.2
Kuang2025Automatedoptimizati,Lv2025Researchonrealtim,0.20869565217391306
Bai2025Artificialintellige,Yuan2025Ethicalandlegalis,0.21333333333333335
Bai2025Artificialintellige,Zhang2025Naturallanguagepro,0.22222222222222224
Deng2025Theworkanalysisof,Yang2025Effectivenessofcom,0.22222222222222224
He2025Personalizedteachin,Liu2025Researchonthecons,0.20869565217391306
He2025Personalizedteachin,Tang2025CollegeEnglishclas,0.29473684210526313
Yang2025ImprovingaVOHEsys,Li2025Aredcultureconten,0.2
Gao2025Designandperforman,Liu2025Optimizationandcom,0.20869565217391306
Xiao2025Innovativeapplicati,Dong2023ResearchOntheOpti,0.25
Xiao2025Innovativeapplicati,Wang2025Methodsandcontent,0.21818181818181817
Xiao2025Innovativeapplicati,Zhang2025Difficultiesandbre,0.24
Xiao2025Innovativeapplicati,Lai2025Applicationofartif,0.28235294117647064
Wang2025Studyontheeffect,Wei2025Evaluationanalysis,0.20869565217391306
Dukun2025Visualpredictionmo,Zhao2025Modelandresearcho,0.2
Zhou2025Modelingandsimulat,Zhao2025Modelandresearcho,0.2
Guo2025Intelligentrecognit,Zhou2025Improvingstudents,0.2
Liang2025Augmentingcustomer,Priya2024ComputationalPolite,0.25
Zheng2025Controlschemeofgr,Ni2025Applicationresearch,0.2
Wan2025Optimizationofcult,Wu2025Optimizationofauto,0.21052631578947367
Wan2025Optimizationofcult,Min2025Optimizationofpref,0.2
Liu2025ConstructionofEngl,Yuan2025Ethicalandlegalis,0.26666666666666666
Liu2025ConstructionofEngl,Zhang2025Constructionofakn,0.22222222222222224
Nie2025MapReducebaseddata,Ni2025Intelligenttourism,0.22857142857142856
Gao2025Designofmultipler,Shi2025Designandresearch,0.2
Gao2025Designofmultipler,Cao2025Apersonalizedrecom,0.20869565217391306
Zhang2025Graphsignalprocess,Wang2025Threatassessmentmo,0.2
Li2025Optimizationofstud,Zhu2025Explorationofartp,0.24347826086956526
Li2025Optimizationofstud,Zhao2025Constructionoftrad,0.2
Wang2025Thedesignandimple,Qian2025Developmentandeval,0.21818181818181817
Wang2025Thedesignandimple,Wei2025Bigdatasentimenta,0.21818181818181817
Wang2025Thedesignandimple,Hu2025Designofexothermic,0.2
Xu2025Applicationofartif,Chen2025Theapplicationofc,0.22857142857142856
Li2025Impactofmultimodal,Du2025Studyonspatialopt,0.2
Li2025Impactofmultimodal,Lou2025Theimpactofvirtua,0.2
Wu2025Patternrecognition,Yang2025Designandcategory,0.21818181818181817
Zhang2025Analysisoftheappl,Zhou2025ApplicationofNSGA,0.2153846153846154
Qian2025Developmentandeval,Liu2025Researchonthecons,0.2
Qian2025Developmentandeval,Wang2025Thedesignandimple,0.21818181818181817
